Station,sample_datetime,value,date
Melbourne CBD,4/12/2019 0:00,0.5,2019/12/04
Melbourne CBD,5/12/2019 0:00,5.400000095,2019/12/05
Melbourne CBD,6/12/2019 0:00,2.900000095,2019/12/06
Melbourne CBD,7/12/2019 0:00,6.699999809,2019/12/07
Melbourne CBD,8/12/2019 0:00,0.400000006,2019/12/08
Melbourne CBD,9/12/2019 0:00,8,2019/12/09
Melbourne CBD,10/12/2019 0:00,8.5,2019/12/10
Melbourne CBD,11/12/2019 0:00,0.200000003,2019/12/11
Melbourne CBD,12/12/2019 0:00,0.800000012,2019/12/12
Melbourne CBD,13/12/2019 0:00,3.5,2019/12/13
Melbourne CBD,14/12/2019 0:00,3.799999952,2019/12/14
Melbourne CBD,15/12/2019 0:00,3.900000095,2019/12/15
Melbourne CBD,16/12/2019 0:00,5.800000191,2019/12/16
Melbourne CBD,17/12/2019 0:00,5.900000095,2019/12/17
Melbourne CBD,18/12/2019 0:00,7.900000095,2019/12/18
Melbourne CBD,19/12/2019 0:00,7.300000191,2019/12/19
Melbourne CBD,20/12/2019 0:00,7.400000095,2019/12/20
Melbourne CBD,21/12/2019 0:00,22.89999962,2019/12/21
Melbourne CBD,22/12/2019 0:00,9,2019/12/22
Melbourne CBD,23/12/2019 0:00,6.199999809,2019/12/23
Melbourne CBD,24/12/2019 0:00,8.600000381,2019/12/24
Melbourne CBD,25/12/2019 0:00,-0.200000003,2019/12/25
Melbourne CBD,26/12/2019 0:00,42.40000153,2019/12/26
Melbourne CBD,27/12/2019 0:00,-3.200000048,2019/12/27
Melbourne CBD,28/12/2019 0:00,13.10000038,2019/12/28
Melbourne CBD,29/12/2019 0:00,6.300000191,2019/12/29
Melbourne CBD,30/12/2019 0:00,4.5,2019/12/30
Melbourne CBD,31/12/2019 0:00,11.80000019,2019/12/31
Moe,1/12/2019 0:00,2.299999952,2019/12/01
Moe,2/12/2019 0:00,4.900000095,2019/12/02
Moe,3/12/2019 0:00,-2.400000095,2019/12/03
Moe,4/12/2019 0:00,4.5,2019/12/04
Moe,5/12/2019 0:00,-3.700000048,2019/12/05
Moe,6/12/2019 0:00,2.799999952,2019/12/06
Moe,7/12/2019 0:00,8.899999619,2019/12/07
Moe,8/12/2019 0:00,4.5,2019/12/08
Moe,9/12/2019 0:00,-2,2019/12/09
Moe,10/12/2019 0:00,-1.799999952,2019/12/10
Moe,11/12/2019 0:00,3.299999952,2019/12/11
Moe,12/12/2019 0:00,6.400000095,2019/12/12
Moe,13/12/2019 0:00,2.200000048,2019/12/13
Moe,14/12/2019 0:00,-3.700000048,2019/12/14
Moe,15/12/2019 0:00,3.700000048,2019/12/15
Moe,16/12/2019 0:00,0.899999976,2019/12/16
Moe,17/12/2019 0:00,4.699999809,2019/12/17
Moe,18/12/2019 0:00,16.5,2019/12/18
Moe,19/12/2019 0:00,1.600000024,2019/12/19
Moe,20/12/2019 0:00,-1.899999976,2019/12/20
Moe,21/12/2019 0:00,19.39999962,2019/12/21
Moe,22/12/2019 0:00,2.400000095,2019/12/22
Moe,23/12/2019 0:00,8.399999619,2019/12/23
Moe,24/12/2019 0:00,13.39999962,2019/12/24
Moe,25/12/2019 0:00,4.300000191,2019/12/25
Moe,26/12/2019 0:00,4.900000095,2019/12/26
Moe,27/12/2019 0:00,1.5,2019/12/27
Moe,28/12/2019 0:00,1.100000024,2019/12/28
Moe,29/12/2019 0:00,5.900000095,2019/12/29
Moe,30/12/2019 0:00,13.80000019,2019/12/30
Moe,31/12/2019 0:00,10.30000019,2019/12/31
Morwell East,1/12/2019 0:00,1.600000024,2019/12/01
Morwell East,2/12/2019 0:00,5.599999905,2019/12/02
Morwell East,3/12/2019 0:00,6.199999809,2019/12/03
Morwell East,4/12/2019 0:00,5.199999809,2019/12/04
Morwell East,5/12/2019 0:00,3.599999905,2019/12/05
