Station,value,date
Camden,63.7,2019/12/10
Camden,15.9,2019/12/11
Camden,17.1,2019/12/12
Camden,9.2,2019/12/13
Camden,41.8,2019/12/14
Camden,49.2,2019/12/15
Camden,26.3,2019/12/16
Camden,7.1,2019/12/17
Camden,18.7,2019/12/18
Camden,76.5,2019/12/19
Camden,22.5,2019/12/20
Camden,45.6,2019/12/21
Camden,17.4,2019/12/22
Camden,19.3,2019/12/23
Camden,15.7,2019/12/24
Camden,17.8,2019/12/25
Camden,8.6,2019/12/26
Camden,7.6,2019/12/27
Camden,11.3,2019/12/28
Camden,67.7,2019/12/29
Camden,41.5,2019/12/30
Camden,64.8,2019/12/31
